Domain / Category,Parameter,Category Description,Parameter Description,Basic — Criterion,Medium — Criterion,High — Criterion,Optimised Parameter Name
▶  EV,Electric Vehicle (EV) Technologies,,,,,,
Category Overview,,"Covers all features exclusive to battery-electric (BEV) and plug-in hybrid (PHEV) powertrains: intelligent routing and range management, smart and bidirectional charging (V2G/V2H/V2L), battery health monitoring, and eco-driving coaching. ",,,,,
EV,Trip planner / EV Routing,,"Integrated EV route planning within the navigation system that calculates the optimal route accounting for real-time battery state, charger locations, charging speeds, and planned stops to ensure arrival within the vehicle's range.",Static range estimate only; no live charger data or multi-stop optimisation.,Connected routing with real-time charger availability and basic arrival SoC planning.,"Full multi-stop optimised EV routing: live charger status, dynamic arrival/departure SoC management, weather-adjusted range, in-route re-optimisation.",EV Route Planner with Charging Stop Optimisation
EV,Battery Preconditioning,,"System that heats or cools the high-voltage battery to its optimal temperature window before a DC fast charging session, significantly increasing charging speed and protecting battery longevity.",Manual activation only — driver must trigger preconditioning independently before DCFC.,Automatic trigger via navigation destination set to a DC charger.,Automatic nav-based preconditioning integrated with cabin pre-climatisation and departure timer.,Battery Preconditioning for DC Fast Charging
EV,Eco Coaching,,In-vehicle coaching system that analyses driving behaviour and/or forecasts energy consumption to help the driver maximise range and efficiency. ,Post-trip driving behaviour evaluation with efficiency score only.,Real-time coaching tips and suggestions during the journey based on driving style.,"Predictive energy discharge forecast using planned route, topography, traffic, climate load, and driving style combined.",Eco Driving Coaching and Energy Forecast
EV,Add power (purchase additional horsepower OTA),,Software-based mechanism allowing the owner to unlock additional motor output or performance modes via an Over-The-Air (OTA) purchase or subscription — without any physical hardware change. Enables the manufacturer to offer performance upgrades post-sale.,One-time OTA unlock via dealer or brand portal (not self-service).,OTA performance tier purchase available via in-car or mobile app store.,"Flexible subscription or on-demand OTA power unlock (e.g., per-day or per-event) purchased directly in-vehicle.",OTA Performance Unlock (Additional Horsepower Purchase)
EV,Smart e-coasting,,System that automatically optimises the vehicle's coasting behaviour and energy regeneration level by anticipating upcoming events. ,Sensor-based only — radar/lidar distance to lead vehicle drives coasting optimisation.,Sensor data plus map speed-limit anticipation for coasting management.,"Full predictive coasting using navigation: speed limits, curves, roundabouts, intersections, and topography.",Predictive Energy Recuperation and Smart Coasting
EV,EV/PHEV Smart Charging (Cooperative / Managed Charging) (V1G Lev2),,"Capability to modulate the vehicle's AC charging rate in response to external grid signals, electricity prices, or operator commands (V1G — one-directional). ",Off-board V1G only — external EVSE or grid signal manages charging; no onboard intelligence.,Hybrid off-board/onboard: external signals with some onboard scheduling capability.,"Full onboard V1G: dynamic tariff integration, grid-load response, and automated scheduling.",Smart Managed Charging V1G (Cooperative Charging)
EV,V2G,,"Vehicle-to-Grid: bidirectional charging capability allowing the EV battery to export energy back to the public electricity grid, enabling demand response, grid stabilisation, and potential revenue generation for the owner via aggregator or energy-contract partnerships.",Manual or scheduled V2G export only; no automated energy management.,Automated V2G with basic energy-contract partner integration.,"Full V2G with revenue optimisation, aggregator integration, and automated grid-response capability.",Vehicle-to-Grid Bidirectional Charging (V2G)
EV,Vehicle to home energy V2H offgrid (blackout) and/or ongrid,,Vehicle-to-Home: bidirectional power export to supply a residential building. ,Backup power supply during grid blackouts only (off-grid mode).,Scheduled on-grid V2H operation with manual control.,"Full HEMS integration with solar coordination, automatic grid/backup switching, and optimised self-consumption.",Vehicle-to-Home Energy Supply (V2H)
EV,V2L(Vehicle to Load - vehicle as a generator; Power Panel)  (Including V2V capabilities),,"Vehicle-to-Load: ability to power external electrical devices (tools, appliances, camping equipment) via onboard AC/DC sockets using the traction battery. Also covers Vehicle-to-Vehicle (V2V) charging of another EV. Power output and socket variety determine the level.",Single standard AC socket (≤2 kW output).,Multiple sockets or higher power (2–3.6 kW) with integrated power panel.,"High-power output panel (>3.6 kW), multiple socket types, and V2V bidirectional charging capability.",Vehicle-to-Load External Power Export (V2L / V2V)
EV,Plug & Charge/Autocharge,,Automated authentication and payment initiation at a DC fast charger without driver action. ,No automated authentication; manual app/RFID required at public DCFC.,Autocharge: proprietary or network-specific automated handshake for charging initiation.,"Plug & Charge per ISO 15118: cybersecure, cross-network interoperable automatic authentication and payment.",Plug and Charge Automatic Authentication (ISO 15118)
EV,Display Charge status/information DC charging,,"Real-time visualisation of the DC charging session on the vehicle's displays: current SoC %, estimated time to target charge, charging power in kW, and session energy. ",Basic SoC % and estimated time remaining displayed.,"Detailed display: charging power (kW), session energy, and cost estimate.","Full charging dashboard: power, SoC, cost, charger ID, session log, and predictive end-of-charge time on multiple screens.",DC Charging Status Display
EV,Location based charging,,"Ability to configure distinct charging profiles (target SoC, charging window, power limit) that activate automatically based on the vehicle's GPS location (e.g., different settings for home vs. work vs. public charging).",Single preset charging schedule independent of location.,"Two preset profiles (e.g., home/work) with different schedules.","Multiple geo-fenced location profiles each with individual power, SoC limit, duration, and tariff settings.",Location-Based Charging Profiles
EV,EV/PHEV comfort charging (wireless inductive or conductive),,"Charging solution eliminating manual cable handling. Includes wireless inductive charging pads (park-and-charge) or automated robotic/conductive systems. Provides superior convenience, especially for daily home charging routines.",Official OEM wireless charging pad accessory available (separate purchase).,Factory-integrated wireless inductive charging pad (up to ~11 kW).,Automated robotic/conductive or high-power (>11 kW) wireless charging — fully integrated from factory.,Wireless or Automated Inductive Charging
EV,Charge Coach (e-coaching recharge Inno; NMC batteries only),,"Specialised coaching system guiding the driver on optimal charging practices to extend battery life and efficiency — distinct from range coaching. Provides recommendations on AC vs. DC charging, ideal SoC windows for storage, and long-term degradation avoidance. Most effective for NMC battery chemistry.",Basic static guidance on optimal SoC ranges for battery health.,Dynamic coaching adapting AC vs DC recommendations to usage patterns.,"Personalised per-session coaching: charge speed, SoC targets, and long-term battery health tracking (NMC-specific).",Battery Charging Coach (Optimised Charging Guidance)
EV,"Variable charging control (set kW, time, max.SOC) down to SOC% and kW#",,Granular user control over the charging session. ,Start/stop current session only — no scheduling or power adjustment.,Set target SoC % and schedule departure time; no granular power control.,"Full control: adjustable target SoC %, scheduled window, and adjustable charging power/current in defined steps.","Variable Charging Control (Power, Schedule, Target SoC)"
EV,Battery State of Health / Used Battery Certificate / Battery Passport,,"Provision of transparent battery health data and certification. Includes State of Health (SoH) percentage, capacity degradation trend, and optionally a formal battery health certificate or EU Battery Passport for resale and regulatory compliance purposes.",General battery health indicator or estimated capacity available in vehicle menu.,Detailed SoH % with degradation trend accessible to the owner.,Official battery health certificate and/or EU Battery Passport compliant digital passport — transferable to future buyer.,Battery State of Health and Battery Passport
▶  INFOT.,Infotainment & Connectivity,,,,,,
Category Overview,,"All in-vehicle information, entertainment, and connectivity systems: navigation (embedded and connected), audio/video streaming, voice AI assistants, smartphone integration, in-car payments, and OTA services. This domain defines the digital experience of the vehicle and is one of the fastest-moving competitive battlegrounds — differentiating premium brands through interface quality, content ecosystem breadth, and AI-driven personalisation.",,,,,
INFOT.,Navigation,,In-vehicle turn-by-turn navigation system. ,Embedded system with offline maps and basic turn-by-turn routing.,Connected navigation with occasional online updates and limited live services.,"Fully connected: real-time traffic, live POI search, cloud routing, and EV range overlay.",In-Vehicle Navigation System
INFOT.,Navigation OTA map update,,"Capability to update the navigation system's map database wirelessly over the air, ensuring accurate and current mapping without requiring a physical media update or dealership visit.",Manual map updates via USB or dealer only.,OTA map updates available but manually initiated by the driver.,Automatic background OTA map updates — no driver action required.,Over-the-Air Navigation Map Updates
INFOT.,Parking Availability Information,,Live parking availability data integrated into the navigation system. ,"Off-street parking availability only (car parks, silos).",Off-street plus partial on-street occupancy data in selected areas.,Combined off-street and probabilistic real-time on-street parking availability displayed on map.,Real-Time Parking Availability Information
INFOT.,Satellite View (e.g Google Earth),,visualization of Map from satellite like with Google earth,—,—,—,Satellite Map View
INFOT.,Augmented Reality in Navigation,,"Navigation guidance overlaid in real time on a live front-camera video feed, displaying directional arrows, street names, lane guidance, and POI markers. Can be rendered on the IVI central screen and/or in the instrument cluster for driver-axis visibility.",AR overlay on IVI screen only (front camera + directional arrows).,AR on IVI with lane-level arrow guidance and street name overlay.,"Full AR on IVI and driver-axis cluster/HUD with dynamic arrows, speed limit display, and hazard highlights.",Augmented Reality Navigation Overlay
INFOT.,Map visualization in Cluster,,"Display of the navigation map (beyond a simple route ribbon) within the digital instrument cluster, giving the driver a full spatial view of the road ahead and surrounding context without looking away from the driving axis.",Route ribbon or simple arrow guidance in cluster only.,Partial map view in cluster (small window format).,Full navigation map natively rendered in the digital cluster.,Navigation Map Display in Instrument Cluster
INFOT.,Trailer/Tow Specific  Navigation (low clearance alert included),,"Navigation mode specifically designed for when the vehicle is towing a trailer. This typically includes considerations for vehicle dimensions, weight, and potential restrictions (e.g., low clearance alerts, routes avoiding sharp turns or steep grades).",—,—,—,In-Vehicle Navigation System
INFOT.,Camera Recorder - Dash Cam,,Dashcam functionality using on-board cameras. ,"Official OEM dashcam accessory available (external, sold separately).",Semi-integrated dashcam using dedicated OEM hardware with in-car storage/viewing.,"Fully integrated: existing onboard cameras used as dashcam, footage stored to internal memory or USB with in-car review.",Integrated Dashcam (Camera Recorder)
INFOT.,Appstore,,"An in-vehicle application store embedded in the infotainment system, enabling drivers to browse, download, and manage third-party apps (navigation, streaming, productivity) directly on the head unit.",Pre-loaded curated apps only — no user-downloadable store.,Basic OEM app store with limited downloadable catalogue.,"Full open/semi-open app store with regular catalogue updates, ratings, and OTA app installation.",In-Vehicle App Store
INFOT.,Hybrid radio (FM/DAB+Internet),,"Radio system combining traditional broadcast reception (FM, DAB+) with internet-based IP radio streaming, automatically or manually switching between sources to maintain uninterrupted audio when broadcast signal quality drops.",FM + DAB digital radio only — no internet streaming fallback.,FM/DAB with manual internet radio option via connected infotainment.,Hybrid radio with seamless automatic switching between FM/DAB broadcast and IP streaming.,Hybrid Radio (FM / DAB / Internet Streaming)
INFOT.,Music streaming : Spotify/ Apple Music/Amazon Music,,"Native integration of major music streaming platforms (Spotify, Apple Music, Amazon Music, etc.) directly within the infotainment system, accessible without requiring a connected smartphone.",Streaming available via CarPlay/Android Auto only (smartphone-dependent).,"Native embedded streaming app with linked account, requires hotspot data.",Native embedded streaming with built-in SIM/embedded data — no smartphone required.,Native Music Streaming Integration
INFOT.,Video streming: Youtube/Netflix/Amazon Prime/Other,,"Native integration of video streaming services (YouTube, Netflix, Amazon Prime Video, etc.) on the infotainment display, typically restricted to parked-vehicle use or rear-seat screens.",Video streaming via mirrored smartphone only (CarPlay/AA).,One video streaming app natively embedded (parked use only).,Multiple video streaming services natively embedded with optional rear-seat access (parked only).,Native Video Streaming Integration
INFOT.,Web Browser,,"Full internet browser embedded in the infotainment system, providing unrestricted web access (typically when parked). Higher levels support modern web standards and may allow passenger-side browsing while in motion.",Basic embedded browser with limited functionality (parked only).,Full-featured embedded browser supporting modern web standards (parked only).,Full browser with optional passenger use while driving and embedded data connectivity.,Integrated Web Browser
INFOT.,Gaming  (Headunit= medium); (immersive/St Wheel / Pedals = high) Car as a gamepad,,In-cabin gaming capability. ,Smartphone/device mirroring for gaming on the head unit screen.,Games playable natively on the vehicle's head unit (touch/controller input).,"Immersive gaming using vehicle controls (steering wheel, pedals) or dedicated controllers with advanced graphics.",In-Vehicle Gaming
INFOT.,"Smart Device Screen Casting (i.e. Chromecast, Airplay , Miracast etc…)",,"Direct wireless screen mirroring or casting from smartphones and tablets to the infotainment display, using consumer casting standards such as Chromecast, AirPlay, or Miracast — beyond the scope of CarPlay/Android Auto.",Wired screen mirroring via USB only.,"Wireless casting for one platform (e.g., Chromecast OR AirPlay, not both).","Wireless casting supporting multiple simultaneous protocols (Chromecast, AirPlay, Miracast).",Wireless Screen Casting (Chromecast / AirPlay / Miracast)
INFOT.,"Wireless Mirroring Carplay & Android Auto (Only One wireless M: 12,Both wireless H :14)",,Wireless smartphone projection via Apple CarPlay and/or Android Auto. Medium = one platform wireless only; High = both CarPlay and Android Auto supported wirelessly simultaneously.,Both CarPlay and Android Auto via wired connection only.,One of the two (CarPlay or Android Auto) supported wirelessly; the other is wired.,Both Apple CarPlay and Android Auto supported fully wirelessly.,Wireless Apple CarPlay and Android Auto
INFOT.,"Branded premium audio ( Mid<12 spk, High =>12 spk )",,"Factory-fitted premium audio system by a recognised brand (e.g., Bose, Harman Kardon, Meridian, Bang & Olufsen). ",Standard (non-branded) audio system.,Branded premium audio system with fewer than 12 speakers.,Branded premium audio system with 12 or more speakers.,Branded Premium Audio System
INFOT.,Premium Audio (H : 3D sound ),,"Advanced audio system delivering a three-dimensional soundstage through height channels or object-based spatial audio processing, creating an immersive listening experience beyond standard surround sound.",Standard stereo or basic surround audio.,Multi-channel surround sound without height channels.,3D/immersive sound with dedicated height channels and spatial audio processing.,Premium 3D Spatial Audio System
INFOT.,Premium Audio (H : 4D sound ),,"Premium audio enhanced with haptic/tactile transducers integrated into the seats, synchronised to bass content and audio events to create a full-body immersive listening experience.",Standard audio — no haptic/tactile integration.,Seat-mounted tactile transducers for bass enhancement only.,Full 4D audio with seat vibrators synchronised to audio content for whole-body immersion.,Premium 4D Audio System with Seat Haptics
INFOT.,Premium Audio (H : Dolby atmos ),,Audio system certified for Dolby Atmos playback — the industry-leading object-based surround-sound format — delivering cinema-quality spatial audio within the vehicle cabin.,Standard multi-channel surround sound.,Object-based audio processing without official Dolby Atmos certification.,Officially certified Dolby Atmos playback system.,Premium Audio with Dolby Atmos
INFOT.,Targeted Audio Via Headrest Speakers,,"Speakers integrated into the seat headrests to create personalised audio zones for individual occupants, enabling discrete navigation prompts, phone calls, or tailored sound experiences per seat position.",Standard cabin audio only — no headrest speakers.,Headrest speakers for navigation or phone calls in front row.,Individual audio zones via headrest speakers for all occupants with personalised sound per seat.,Personalised Audio via Headrest Speakers
INFOT.,Noise cancellation (Engine 1),,Active Noise Cancellation (ANC) system using microphones and the audio system's speakers to generate anti-phase sound waves that specifically counteract and reduce engine noise perceived inside the cabin.,No active engine noise cancellation — passive insulation only.,ANC targeting primary engine frequency band.,Broadband ANC targeting multiple engine harmonics across all RPM ranges.,Active Engine Noise Cancellation
INFOT.,Noise cancellation (Road 2),,"Active Road Noise Cancellation (RNC) system that detects and cancels tyre and road surface noise transmitted through the vehicle structure into the cabin, improving ride refinement.",No active road noise cancellation.,RNC targeting primary tyre/road resonance frequencies.,Broadband RNC with adaptive tuning for different road surfaces and speeds.,Active Road Noise Cancellation
INFOT.,Noise cancellation (wind 3),,"Active Wind Noise Cancellation system targeting aerodynamic and wind buffeting noise at higher speeds, complementing passive sealing measures for a quieter cabin at motorway speeds.",No active wind noise cancellation.,Wind noise reduction at specific resonance frequencies.,Adaptive wind noise cancellation active across speed range with real-time adjustment.,Active Wind Noise Cancellation
INFOT.,EV sound generator internal,,"Artificially generated interior sound design for EVs, providing acoustic feedback linked to throttle, speed, and drive mode to enrich the driving experience and compensate for the absence of engine sound.",Fixed artificial internal sound independent of driving mode.,"Internal sound varying by drive mode (Eco, Normal, Sport).","Fully adaptive sound linked to acceleration, speed, torque, and drive mode — with user customisation options.",EV Interior Sound Generator
INFOT.,EV sound generator external,,"Distinctive or emotional artificial sound projected externally by an EV, which is *in addition to* or a *stylized version of* the mandatory Acoustic Vehicle Alerting System (AVAS) sound. Standard, compliant AVAS alone is 'No' for this feature. This feature is classified 'High' if any such distinct, additional or uniquely branded external sound design (standard or optional) is present.",—,—,—,EV Exterior Sound Design (Beyond AVAS)
INFOT.,4G/5G Wi-Fi Hotspot,,Embedded cellular modem providing an in-car Wi-Fi hotspot for passengers. ,No integrated Wi-Fi hotspot — phone tethering only.,4G LTE in-car Wi-Fi hotspot (embedded or SIM-based).,5G in-car Wi-Fi hotspot with high-bandwidth data plan.,In-Car 4G / 5G Wi-Fi Hotspot
INFOT.,In-vehicle Voice Assistant,,"Voice-activated assistant for hands-free control of vehicle systems, navigation, and infotainment. ",Cloud-connected voice recognition for basic vehicle and infotainment commands.,"Advanced conversational AI with LLM integration (e.g., ChatGPT) for complex queries.","Proactive AI assistant that learns habits, provides predictive suggestions, and manages commands across all vehicle domains.",In-Vehicle AI Voice Assistant
INFOT.,"Connected Profiles (with all parameters music, adas, comfort)",,"Cloud-synchronised personalisation profiles storing and automatically applying a comprehensive set of user preferences — seating, mirrors, climate, ADAS sensitivity, favourite destinations, audio settings — whenever a recognised driver enters the vehicle.","Local driver profiles stored on vehicle only (seat, mirrors, favourites).","Cloud-synced profiles covering key preferences (seat, climate, audio) accessible across vehicles.","Full cloud-synced profiles covering all domains: seating, ADAS, navigation, infotainment, music, and payment credentials.",Cloud-Connected Driver Personalisation Profiles
INFOT.,Customer Wallet/Payment Gateway,,"Embedded digital payment capability within the infotainment system allowing the driver to pay for services — EV charging, parking, tolls, fuel, subscriptions — directly from the vehicle without a physical card or separate device.",Linked payment card for EV charging only.,In-car payment for charging and parking via integrated wallet.,"Full in-car payment gateway: charging, parking, tolls, on-demand subscriptions, and in-car marketplace.",In-Vehicle Payment Gateway (Digital Wallet)
INFOT.,Biometric recognition for personalization and buy (fingerprint/face/voice),,"Use of fingerprint, facial, or voice biometrics for secure driver identification, enabling automatic profile loading and authorising in-car purchases without a PIN or password.",Single biometric modality for driver identification only.,Biometric ID used for profile personalisation and basic in-car authentication.,"Multi-modal biometrics (fingerprint + face + voice) for personalisation, payment authorisation, and access control.",Biometric Driver Recognition (Fingerprint / Face / Voice)
INFOT.,Video conference (teams/meet/webex),,"Video conferencing applications (Microsoft Teams, Google Meet, Zoom, Webex) accessible on the infotainment screen when parked. ",Audio-only conferencing via integrated speaker system (parked).,At least one major video conferencing app available on infotainment (parked).,"Video conferencing using embedded interior camera, microphone array, and speaker system (parked).",In-Vehicle Video Conferencing
INFOT.,Digital Handbook (Electronic Owners Manual),,"A digital, searchable version of the vehicle owner's manual embedded in the infotainment system, enabling drivers to quickly find operating instructions and safety information contextually — without physical paperwork.",Static PDF or QR-code link to online manual only.,Interactive searchable digital handbook within the infotainment system.,Context-aware handbook proactively surfacing relevant information based on active vehicle function or driver query.,Digital Owner's Manual (Electronic Handbook)
INFOT.,Off road pages / Performance Page,,"Dedicated infotainment pages displaying real-time off-road or performance telemetry: pitch/roll angles, wheel articulation, terrain mode status, traction indicators, G-force meter, and lap timers.","Basic telemetry page (pitch/roll angles, compass).","Extended off-road page with traction data, differential status, and drive-mode indicator.","Full suite: real-time angle, traction, terrain mode, driveline status, G-force meter, configurable layout.",Off-Road and Performance Telemetry Pages
INFOT.,"Drive mode selection (terrain mode, sport mode, race…) Basic: predefined settings; High: individual drive mode",,"System allowing the driver to select or configure driving modes that alter powertrain, steering, suspension, traction, and braking parameters.","Fixed OEM-defined presets only (Eco, Normal, Sport).","Predefined modes plus ability to adjust 1–2 parameters (e.g., throttle response, steering weight).","Fully customisable individual mode: driver sets and saves all parameters (powertrain, steering, suspension, regen, HMI theme).",Drive Mode Selection (Terrain / Sport / Custom)
INFOT.,Trailer Tow Pages,,"Dedicated infotainment application consolidating all trailer-related information and controls into a single interface: trailer profiles, hitch guidance, real-time trailer telemetry, lighting status, and camera feeds.","Basic towing info page (tongue weight, trailer connection status).",Towing assistant with trailer profile setup and key real-time data.,"Full trailer management hub: profiles, real-time telemetry, lighting status, camera feeds, and towing guidance in one interface.",Trailer Towing Management Pages
